author,comment,likes,published_at,is_relevant
@MahmoodAhmad-j5z,Lussi nd halvah puri NIHARI nd urget r really tasty breakfast early morning every where in the Pakistan,0,2025-11-18T09:45:13Z,True
@ijaazbutt7183,❤❤❤❤❤❤NICE VIDEO VERY WARAM WELCOME LOVE ❤️ FROM LAHORE ❤❤❤❤❤,0,2025-11-14T17:19:23Z,True
@flybirdsbird6593,I love samosa Qulfi and also like biryani❤❤,0,2025-11-09T13:55:09Z,True
@salmanmehmood470,Why don't like biryani,0,2025-11-05T21:27:21Z,True
@MahmoodAhmad-j5z,LAHORE every where beryani r available in the Lahore Karachi Multan Peshawar nd Quetta judranwala Faisalabad Sialcot hayderabad Sargodha bahawal Pur,0,2025-10-28T21:16:10Z,True
@RMAnimalHouse,I love biryani of karachi pakistan,0,2025-10-28T19:24:32Z,True
@ImranExploresOfficial,I AM FROM BANGLADESH. I WOULD LOVE TASTE KULFI...,1,2025-10-25T11:57:29Z,True
@MahmoodAhmad-j5z,Yes tea is asking everyone else in Pakistan tea is best language is My Pakistan,0,2025-10-25T06:50:37Z,True
@MahmoodAhmad-j5z,No others including some beryani r best Then that's in Pakistan and Lahore,0,2025-10-25T06:49:17Z,True
@MahmoodAhmad-j5z,U r really enjoyed street food please thank you plz,1,2025-10-24T17:42:40Z,True
@MahmoodAhmad-j5z,Samosa pakorra is our national dish please please,1,2025-10-24T17:41:27Z,True
@MahmoodAhmad-j5z,Better shops in Lahore available then Benazeer samosa other inclouding r tasty Then its very where available,0,2025-10-22T17:13:16Z,True
@SohailAsif-o3d,"Samosa hands down everyday. Lassi of course but rainy day I’m not sure. 
Love their hospitality. 
Enjoy.",1,2025-09-05T22:03:13Z,True
@asifrahim5224,"benazir samosa from Lahore, but try biryani at Karachi, home of nihari and biryani",0,2025-07-02T06:37:20Z,True
@shaziaqamar9117,"Im a Pakistani
I have liked your opinion of my country food❤",0,2025-04-13T09:53:54Z,True
@elmakoundouraki3730,I would love Lassi,0,2025-02-24T15:04:06Z,True
@brainsports162,"Love lusi mutton karhai, paratha,",0,2025-01-20T11:26:10Z,True
@adillodhi6952,"It is absolutely true that in every office in Lahore one day is Waqas biryani day . I can not  tell how true that statement is 
You guys won't believe it",0,2024-12-08T23:35:13Z,True
@Syedkashifjamil,I spend many years in Lahore. Lahore have amazing choice of food,0,2024-11-25T21:24:00Z,True
@ismailraja8734,Visit Karachi ..food is better,0,2024-11-01T07:04:02Z,True
@azarkamal4477,"During excavation by archaeologists in Lahore they found remains/ evidence of settlement in Lahore going back to 5000 years. 
Its a place of ancient legends and a pivotal city on a vital trade route artery.",0,2024-10-28T05:37:00Z,True
@BloodyRafxan,"I love Pakistani street food so much ,  specially Lahore, Karachi and peshawar .",6,2024-10-12T00:26:54Z,True
@anonymousanonymous2090,Samosa plate i love from lahore,0,2024-09-13T09:52:03Z,True
@AdeelTanveer-u8r,Thanks 4 honest review of biryani...❤other filmaker tourists after one spoon ...oh my God i am dead what a true craftmanship 😂,0,2024-09-05T19:54:20Z,True
@arsalkhan8562,"I think you was not guided by any one , because you was not visited famous street food points",0,2024-08-29T18:35:13Z,True
@subhatti1472,"Jeda lassi
Tari lassi
Famous lassi of lahore",0,2024-08-04T09:03:07Z,True
@Markhor975,❤sister for you from Lahore🇵🇰💚😇,0,2024-06-25T12:58:45Z,True
@Ex-Muslim-c2k,Lahore  has very unhygienic food. The whole Pakistan very unsanitary restaurant.,0,2024-06-16T03:07:10Z,True
@Alihassan-lp5mo,I LOVE LASSI,0,2024-05-17T20:19:07Z,True
@AhadAli-o2n,"Thanks a lot for visiting Lahore Pakistan, the city of Love ❤.... Keep growing and visit more and more countries",2,2024-05-05T13:03:24Z,True
@tousifqammar3153,I would try Samosa,0,2024-03-27T12:05:26Z,True
@alphauby,"Nice Video but you hardly touched anything what people of Lahore actually eat, nor is any good or authentic place mentioned here. Quite random places. Need better guides and more exploration. Lahore has a lot more to offer.",0,2024-03-25T18:01:22Z,True
@Mahnoorhits,I like all foods of Lahore dear guest.,0,2024-03-25T15:07:33Z,True
@GreenArrow177,waqas biryani is not biryani its actually pulao Lahori wtf is wrong with you guys insulting biryani like that,0,2024-03-21T12:16:42Z,True
@RaisKhan-mk3ff,The biryani is lovely thank you very  much for showing the positive image of my country stay blessed,0,2024-03-19T20:27:37Z,True
@Ahmed_Sultanvlogs,"Welcome to Pakistan and thanks for sharing the beautiful colors of Pakistan . Your presentation of the culture , people and food is superb , stay happy and blessed and keep on showing the beauty in diversity . Hope you liked your stay in Pakistan .",0,2024-03-18T07:01:27Z,True
@Syedkhuram87,hey im syed from pakistan but 12 years im stay in dubai waqas biryani near my home im also very like waqas biryani very good your vlog really i like your vlog best off luck when you come dubai and pakistan contact with me i give you full sport,0,2024-02-28T11:04:06Z,True
@SahajaGangavarapu,"For the God sake jst stop calling Pakistani food, hospitality & so called culture, in the very true sense there's ntng called Pakistani culture coz they don't have any culture of their own their culture & even existence itself is borrowed even their religion is not their own it came from outside the so called Pakistanis r jst living under Indian shadows.....",0,2024-02-24T07:21:48Z,True
@Mi3940,"Welcome my sister.
Welcome to my city LAHORE❤️✌️",0,2024-02-15T20:09:25Z,True
@islamsworld0,"I love Wawqas Biryani
Because I'm Lahori",0,2024-02-03T02:09:11Z,True
@anonymous.23453,I'm lahori and we love lahore ❤,1,2024-01-27T14:01:43Z,True
@brolym5,dont say its cheap or the portion size is big infront of them. They will reduce it ffs,0,2024-01-26T18:27:06Z,True
@abdulrehmankhokhar1042,Lahore is Lahore,0,2024-01-21T09:16:32Z,True
@aliawan1150,Wellcome too Lahore ❤,0,2024-01-18T22:39:29Z,True
@MomilMalik-l5t,I live in Lahore so I have experience the things it’s truly amazing,0,2024-01-15T06:04:54Z,True
@raazkhanreal1737,Lassi and biryani 😋,0,2024-01-08T17:42:35Z,True
@gizrichronicles6553,"Worst city to eat biryani in the whole world, sorry to say that Lahory dont know about Biryani. I am surprised that you choose biryani in Lahore.",0,2024-01-05T00:09:20Z,True
@Italin298,Benvenuto in lahore❤,0,2024-01-04T23:26:58Z,True
@dr.waqasasghar,🎉🎉🎉🎉🎉l  ❤❤❤❤❤❤❤❤❤❤❤❤    Lassi. ❤😊😊😊😊,0,2024-01-02T15:38:35Z,True
@mohammadkabir7533,Food looks very tasty 😋,0,2023-12-31T21:27:20Z,True
@adilmehmood5470,i invited you  a lunch or dinner with my family can you meet with us,0,2023-12-31T20:25:46Z,True
@usman4497,i like your video content to visit pakistan i heartly warm welcome to please visit my city named multan which is oldest city of the world 1000 years old city,0,2023-12-28T17:09:40Z,True
@whymani,"how do you know so much things or traditions related points about we Lahoris???
HOW????
like:
How do you know that we eat biryani once a week atleast from Waqas Biryani in our Offices??
and their are other so many things that drops my jaw about the knowledge you have about us.???
BTW:
Lots of Love. If you ever visit Lahore again, do let me know, I will help you explore Lahore more.",0,2023-12-27T20:20:36Z,True
@NajamSherazi-ly1yb,Excellent presentation of lahori food,0,2023-12-26T09:27:45Z,True
@muhammadIqbal-67,My favorite drink is Lassi love lassi,0,2023-12-25T15:53:22Z,True
@muslim_first,Student biryani in Lahore has best biryani in Lahore,0,2023-12-25T06:10:33Z,True
@khanwashere264,"FOR BIRYANI COME TO KARACHI 
FOR NIHARI, 
COME TO KARACHI, 
FOR BUN KABAB,
COME TO KARACHI, 
FOR SEEKH KABAB,
COME TO KARACHI",2,2023-12-24T21:22:22Z,True
@magenutsitsolutionspvtltd.7877,I am from Lahore and I tasted all these many times.,0,2023-12-24T16:37:12Z,True
@alinaqvi3068,Feel glad to saw that you enjoy and like my city Lahore and it's  food 🥰❤️,0,2023-12-23T08:14:07Z,True
@waqasahmed1406,Lassi is best than others,0,2023-12-23T04:43:42Z,True
@UndoEverything,"I spent some good years of my teenage in Lahore and never heard of this Waqas Biryani. In fact, you are probably the first vlogger talking about them. Well, I cannot know everything because it is not possible.",0,2023-12-23T01:42:15Z,True
@fahadyaseen238,"Dont take money from guests wow ! Hospitality at its best. 
But it was raining artificial in lahore last week did you know that. 😊",0,2023-12-20T08:59:15Z,True
@SyedaHumna-bg5mp,Plz come Pakistan city Karachi and most famous place in Karachi is husainabad and 5 star you try these areas in Karachi I know you love the food of Karachi and try Karachi biryani,0,2023-12-19T13:08:14Z,True
@Saba.programmer,Enjoy Pakistani food ❤,0,2023-12-18T10:10:37Z,True
@RajpootFasih,5:42 The shop you visited is right next to my house! I wish I could invite you to lunch at my home If I knew. You were supposed to have a lot of fun.,0,2023-12-16T21:05:50Z,True
@MajidKhan-mn3fx,Lahore is the heart 💖 of Pakistan. And also Iryna you look very beautiful. Looking properly lahori girl.,0,2023-12-15T18:56:27Z,True
@rafiashahbaz9112,I recommdnd you to try lahore shahi pathoray they r ❤,0,2023-12-15T10:41:34Z,True
@UmairRana,Have you tried naan chanay and rooftop restaurants of walled city,0,2023-12-15T09:59:42Z,True
@UmairRana,Samosa is not pastry 😂 even in Canada people call it Samosa,0,2023-12-15T09:55:00Z,True
@carbondioxide5719,Lahore is 1000 old  not 2000,0,2023-12-14T12:19:14Z,True
@zikriaali4312,If you love street foods? Then come to karachi it is heaven of foods everything you can find their specially best biryani and nehari❤,1,2023-12-13T22:38:56Z,True
@Hamnaartstudio,Waqas biryani is the best biryani in Lahore ❤❤,0,2023-12-13T12:11:01Z,True
@MianHaq-dn2vi,"Very nice job in explaining things, nice way of eating pan.  Hopefully you like the taste.",0,2023-12-12T04:46:10Z,True
@mohdibrahim5169,"Hope you will absolutely enjoy your time in Lahore with delicious and yummy foods , hope lovely Lahore's people will not charge money from you.🌹",0,2023-12-10T13:42:17Z,True
@Reviews3290,Ilyas dumba karahi is one of my favourite karahi in lahore. Plz try it,0,2023-12-10T11:56:44Z,True
@Reviews3290,Nice dear. You show beautiful image of Pakistan. I appreciate your work. Also try a ilyas dumba karahi in lahore.,0,2023-12-10T11:56:16Z,True
@motorized736,The starting line is for Gujranwala not Lahore.,0,2023-12-09T20:08:25Z,True
@lailaameen3467,"It wasn't biryani it was palao 
Karachi makes the best biryani",0,2023-12-09T10:51:38Z,True
@imtiazahmed3456,Love from Lahore Pakistan 🇵🇰 I love samosa 🥠🥠,0,2023-12-09T08:09:08Z,True
@VickeyCreation,Lahore is my Hometown ❤,1,2023-12-09T00:31:51Z,True
@cricketistan0909,"Lahore is my Home City
But now i am in ABU DHABI
❤❤THANKS FOR EXPLORING GOOD IMAGE OF PAKISTAN❤",0,2023-12-08T15:06:46Z,True
